,Date,close30d,earnings30d,comp130d,comp230d,s&p30d
0,9/15/2014,24.34666693,0.148,0.000536333,0.000773667,0.005064333
1,9/16/2014,24.38500027,0.148,0.001051,0.001474,0.005059
2,9/17/2014,24.4286669,0.148,0.000864667,0.001625,0.005053333
3,9/18/2014,24.48033353,0.148,0.001378667,0.002756667,0.005045667
4,9/19/2014,24.53666687,0.148,0.002065333,0.003107333,0.005037
5,9/22/2014,24.61933353,0.148,0.002380333,0.003334,0.005028667
6,9/23/2014,24.6823335,0.148,0.001892333,0.00276,0.005023667
7,9/24/2014,24.7373335,0.148,0.001462333,0.002223333,0.00502
8,9/25/2014,24.8013335,0.148,0.001555,0.002322333,0.005014667
9,9/26/2014,24.8496668,0.148,0.000954333,0.001409333,0.005013333
10,9/29/2014,24.90833347,0.148,0.000992667,0.002254,0.005011333
11,9/30/2014,24.96500017,0.148,0.000989333,0.002227333,0.005009667
12,10/1/2014,25.01100013,0.148,0.000786667,0.001816333,0.00501
13,10/2/2014,25.00466677,0.148,0.000281667,0.001271333,0.005013667
14,10/3/2014,24.9843334,0.148,0.000379333,0.000871,0.005017333
15,10/6/2014,24.96566677,0.148,0.000545,0.001301333,0.00502
16,10/7/2014,24.95366673,0.148,0.000571667,0.001572667,0.005022333
17,10/8/2014,24.9446667,0.148,-0.000214333,0.000490667,0.005028
18,10/9/2014,24.94366673,0.148,0.000412667,0.001233,0.005031333
19,10/10/2014,24.91300007,0.148,-0.000104,0.000483667,0.005038
20,10/13/2014,24.8633334,0.148,-0.000294,0.000290333,0.005046333
21,10/14/2014,24.819,0.148,-0.000773,-0.000166333,0.005058333
22,10/15/2014,24.78766663,0.148,-0.001767333,-0.000350667,0.00507
23,10/16/2014,24.74533327,0.148,-0.002424,-0.000739,0.005082333
24,10/17/2014,24.70866657,0.148,-0.002242,-0.000772333,0.005095
25,10/20/2014,24.6756666,0.148,-0.001905667,-0.000616667,0.005106333
26,10/21/2014,24.67133323,0.148,-0.001453667,-0.000366667,0.005115
27,10/22/2014,24.67566653,0.148,-0.000333,0.000839667,0.005119333
28,10/23/2014,24.69833313,0.148,-0.000813333,-0.00093,0.005125667
29,10/24/2014,24.73699977,0.148,-0.000573,-0.000316,0.005130333
30,10/27/2014,24.79066647,0.148,-0.000248667,8.97E-05,0.005132667
31,10/28/2014,24.86999983,0.148,-0.000331667,-0.000150667,0.005135
32,10/29/2014,24.95466653,0.148,-0.000263667,-1.90E-05,0.005136667
33,10/30/2014,25.03633323,0.148,-0.00014,-0.000754,0.005139
34,10/31/2014,25.10699993,0.148,-0.000418,-0.001296667,0.005141333
35,11/3/2014,25.1606666,0.148,-9.27E-05,-0.000651333,0.005140667
36,11/4/2014,25.24399993,0.148,0.000369667,-0.000601333,0.005138667
37,11/5/2014,25.32499993,0.148,0.000809667,3.73E-05,0.005136
38,11/6/2014,25.4099999,0.148,0.000953,0.000110667,0.005133667
39,11/7/2014,25.50833327,0.148,0.001743,0.001179667,0.005128
40,11/10/2014,25.62099993,0.148,0.001308,0.000661,0.005123667
41,11/11/2014,25.75666657,0.148,0.001418,0.001084,0.005118333
42,11/12/2014,25.90866663,0.148,0.001148667,0.001134,0.005112333
43,11/13/2014,26.06900003,0.148,0.001518667,0.001394,0.005104
44,11/14/2014,26.21600003,0.148,0.001334333,0.000925333,0.005096
45,11/17/2014,26.35666667,0.148,0.000857,0.00019,0.005089667
46,11/18/2014,26.4943333,0.148,0.000956667,0.000272,0.005083
47,11/19/2014,26.631,0.148,0.00146,0.000882,0.005072667
48,11/20/2014,26.7616667,0.148,0.000818,-0.000123667,0.005065333
49,11/21/2014,26.91800007,0.148,0.001553,0.000443,0.005054333
50,11/24/2014,27.0836667,0.148,0.002072,0.000874,0.005040667
51,11/25/2014,27.23400003,0.148,0.002541667,0.001791333,0.005023333
52,11/26/2014,27.36100003,0.148,0.003315,0.001479667,0.005006667
53,11/28/2014,27.50366667,0.148,0.004232333,0.001609667,0.004988667
54,12/1/2014,27.65066667,0.148,0.00416,0.002040667,0.004970667
55,12/2/2014,27.78733327,0.148,0.003368667,0.001547667,0.004955667
56,12/3/2014,27.93199993,0.148,0.003281,0.001496,0.004941667
57,12/4/2014,28.0596666,0.148,0.002525,0.000486333,0.004930333
58,12/5/2014,28.1853333,0.148,0.002779,0.002116333,0.004918
59,12/8/2014,28.3,0.148,0.002817333,0.001579,0.004907333
60,12/9/2014,28.4133333,0.148,0.002265333,0.001383,0.004899
61,12/10/2014,28.51299993,0.148,0.002230333,0.001293,0.004890333
62,12/11/2014,28.60633327,0.148,0.001578333,3.83E-05,0.004886333
63,12/12/2014,28.69033327,0.148,0.001431667,0.000164,0.004881333
64,12/15/2014,28.7639999,0.148,0.000799667,-0.000516,0.00488
65,12/16/2014,28.81766653,0.148,8.27E-05,-0.001328,0.004881667
66,12/17/2014,28.85433323,0.148,-0.000356333,-0.001751333,0.004884667
67,12/18/2014,28.91733323,0.148,0.000351333,-0.000883333,0.004884333
68,12/19/2014,28.99333327,0.148,0.001068667,0.000172667,0.004881
69,12/22/2014,29.07399993,0.148,0.000278667,-0.000228667,0.004878333
70,12/23/2014,29.1306666,0.148,0.000733667,-0.000109333,0.004875
71,12/24/2014,29.1716666,0.148,0.001043667,-6.67E-06,0.004872
72,12/26/2014,29.20499993,0.148,0.001120333,-0.000136667,0.004869
73,12/29/2014,29.2539999,0.148,0.001107,0.000211667,0.004865667
74,12/30/2014,29.30299987,0.148,0.001459667,0.000561667,0.004862
75,12/31/2014,29.33466657,0.148,0.001309667,0.000760333,0.004859333
76,1/2/2015,29.35533327,0.148,0.000893333,0.000210333,0.004858667
77,1/5/2015,29.3729999,0.147333333,0.000926667,0.000277,0.004859
78,1/6/2015,29.3833332,0.146666667,-4.30E-05,-0.000169667,0.004862
79,1/7/2015,29.3703332,0.146,-0.000814667,-0.000839667,0.004866667
80,1/8/2015,29.37133323,0.145333333,-0.000822,-0.000410667,0.00487
81,1/9/2015,29.40499993,0.144666667,-0.000263667,-0.000314333,0.004871333
82,1/12/2015,29.43966663,0.144,-0.000673667,-0.000939667,0.004873667
83,1/13/2015,29.46400003,0.143333333,-0.001321,-0.000906333,0.004877333
84,1/14/2015,29.48733333,0.142666667,-0.001570333,-0.001510667,0.004881333
85,1/15/2015,29.49633337,0.142,-0.001553667,-0.002060667,0.004885333
86,1/16/2015,29.47866673,0.141333333,-0.002144667,-0.002699,0.004891667
87,1/20/2015,29.4783334,0.140666667,-0.001644667,-0.002543667,0.004896667
88,1/21/2015,29.47666673,0.14,-0.001479667,-0.002042667,0.004901
89,1/22/2015,29.4743334,0.139333333,-0.001739667,-0.002002667,0.004904667
90,1/23/2015,29.45900003,0.138666667,-0.000514667,-0.003979,0.004905
91,1/26/2015,29.50733333,0.138,-0.000868,-0.004265667,0.004906333
92,1/27/2015,29.56333333,0.137333333,-0.000321,-0.003411667,0.004904667
93,1/28/2015,29.62333333,0.136666667,-0.000805333,-0.004017333,0.004905667
94,1/29/2015,29.69833333,0.136,-0.000868667,-0.003694,0.004906333
95,1/30/2015,29.78500003,0.135333333,-0.000168667,-0.003500667,0.004904333
96,2/2/2015,29.8656667,0.134666667,-0.000435333,-0.003340667,0.004903
97,2/3/2015,29.94100003,0.134,-0.000508333,-0.003874,0.004902667
98,2/4/2015,29.987,0.133333333,-0.000984333,-0.004618333,0.004904
99,2/5/2015,30.02866667,0.132666667,-0.000787667,-0.004428667,0.004906
100,2/6/2015,30.10033333,0.132,-0.000703667,-0.004286,0.004907
101,2/9/2015,30.17166663,0.131333333,-0.000522667,-0.003936333,0.004908667
102,2/10/2015,30.248,0.130666667,-0.000592667,-0.003741,0.004911333
103,2/11/2015,30.33500003,0.13,-0.000334667,-0.003868667,0.004912667
104,2/12/2015,30.43800003,0.129333333,-0.001004,-0.003975333,0.004914
105,2/13/2015,30.5583334,0.128666667,-0.000237,-0.003510667,0.004913
106,2/17/2015,30.66000003,0.128,0.000408667,-0.002836,0.004909667
107,2/18/2015,30.74133337,0.128,0.000506,-0.003316,0.004906
108,2/19/2015,30.83000003,0.128,0.000906,-0.002374667,0.004899333
109,2/20/2015,30.931,0.128,0.001627,-0.001372,0.004891333
110,2/23/2015,31.04399997,0.128,0.001593667,-0.001371333,0.004884333
111,2/24/2015,31.13199993,0.128,0.001019667,-0.001858667,0.00488
112,2/25/2015,31.2206666,0.128,0.001729667,-0.001254,0.004874
113,2/26/2015,31.3126666,0.128,0.002106333,-0.000894333,0.004867333
114,2/27/2015,31.404,0.128,0.002123,-0.000516667,0.00486
115,3/2/2015,31.49733337,0.128,0.002293,3.33E-05,0.004852333
116,3/3/2015,31.612,0.128,0.003098667,0.000196667,0.004842333
117,3/4/2015,31.71699997,0.128,0.002434,-1.20E-05,0.004835
118,3/5/2015,31.80999993,0.128,0.001821667,-0.000756333,0.004828667
119,3/6/2015,31.90266657,0.128,0.001769667,-0.000856333,0.004823
120,3/9/2015,31.9743333,0.128,0.000548,0.000960333,0.004822
121,3/10/2015,32.008,0.128,0.000913667,0.001447,0.004819333
122,3/11/2015,32.00033333,0.128,-0.000126667,0.000676333,0.004819667
123,3/12/2015,32.00799997,0.128,0.000509667,0.001291667,0.004818333
124,3/13/2015,32.02933327,0.128,0.002193,0.002881333,0.004812667
125,3/16/2015,32.04899993,0.128,0.001659667,0.002701333,0.004809667
126,3/17/2015,32.08533327,0.128,0.002424667,0.003071333,0.004802333
127,3/18/2015,32.12099993,0.128,0.001961,0.002171333,0.004797667
128,3/19/2015,32.1473333,0.128,0.001712,0.001555333,0.004793333
129,3/20/2015,32.1846666,0.128,0.001582,0.001121333,0.004789
130,3/23/2015,32.19299993,0.128,0.00148,0.001153333,0.004785667
131,3/24/2015,32.181,0.128,0.000859,0.000251333,0.004782333
132,3/25/2015,32.15599993,0.128,0.000749,-0.000467333,0.004779
133,3/26/2015,32.0829999,0.128,4.10E-05,-0.000864667,0.004779667
134,3/27/2015,31.98499997,0.128,0.000427667,-0.000918,0.004781
135,3/30/2015,31.86666657,0.128,-0.000399333,-0.001581333,0.004783333
136,3/31/2015,31.78299997,0.128,-0.000284667,-0.001709667,0.004784333
137,4/1/2015,31.73066663,0.128,-0.000535333,-0.001419667,0.004787
138,4/2/2015,31.68066663,0.128,-0.000305333,-0.000860333,0.004790333
139,4/6/2015,31.63833337,0.128,-6.40E-05,-0.00075,0.004793
140,4/7/2015,31.5466667,0.128,-0.000405667,-0.001477333,0.004795667
141,4/8/2015,31.4513334,0.128,-0.000606333,-0.001883667,0.004798667
142,4/9/2015,31.37166667,0.128,-0.000783,-0.00178,0.004801667
143,4/10/2015,31.29999993,0.128,-0.000642333,-0.002006333,0.004803667
144,4/13/2015,31.2379999,0.128,-0.000452333,-0.001775667,0.004804667
145,4/14/2015,31.19433317,0.128,-7.00E-05,-0.001669,0.004805667
146,4/15/2015,31.1463332,0.128,-0.000775667,-0.000959,0.004807333
147,4/16/2015,31.09766657,0.128,-0.000334333,-0.000492333,0.004807667
148,4/17/2015,31.06033327,0.128,4.57E-05,0.00013,0.004807333
149,4/20/2015,31.0123333,0.128,-0.000429667,5.67E-05,0.004809333
150,4/21/2015,31.00233327,0.128,-8.50E-05,0.000401333,0.004807667
151,4/22/2015,30.9763333,0.128,-0.000184,0.000214667,0.004806667
152,4/23/2015,30.97433333,0.128,0.000895333,0.000144667,0.004802333
153,4/24/2015,30.95466667,0.128,0.000755,0.000541667,0.004797333
154,4/27/2015,30.91900003,0.128,-0.000515,-0.000788,0.004793667
155,4/28/2015,30.87900007,0.128,-0.000200333,-0.000339667,0.004789667
156,4/29/2015,30.83600003,0.128,-0.000168667,-0.000276333,0.004787667
157,4/30/2015,30.78633337,0.128,-0.000246333,-0.000293,0.004785667
158,5/1/2015,30.7606667,0.128,-0.000618,-0.000509,0.004787333
159,5/4/2015,30.7323334,0.128,-0.000170333,0.000465,0.004786667
160,5/5/2015,30.71433337,0.128,-0.000144667,4.00E-06,0.004786
161,5/6/2015,30.7196667,0.128,-1.47E-05,-0.000102667,0.004787
162,5/7/2015,30.73433337,0.128,-0.000238,0.000384,0.004787667
163,5/8/2015,30.7920001,0.128,0.000182,0.000497333,0.004785333
164,5/11/2015,30.87833343,0.128,0.000959333,0.001330333,0.004780667
165,5/12/2015,30.97266677,0.128,0.000872667,0.001695333,0.004777
166,5/13/2015,31.06700003,0.128,0.000449,0.001269,0.004775667
167,5/14/2015,31.1520001,0.128,0.000753667,0.001995333,0.004773
168,5/15/2015,31.23066677,0.128,0.001300667,0.001584,0.004768
169,5/18/2015,31.2706667,0.128,0.000725,0.000791,0.004763667
170,5/19/2015,31.33733337,0.128,0.001039667,0.001189,0.004759667
171,5/20/2015,31.41400007,0.128,0.001465,0.001724,0.004755333
172,5/21/2015,31.5033335,0.128,0.001288333,0.001465667,0.004751667
173,5/22/2015,31.58100023,0.128,0.001131,0.001282333,0.004748
174,5/26/2015,31.6446669,0.128,0.001044333,0.000947333,0.004746
175,5/27/2015,31.69400023,0.128,0.000675333,0.000524,0.004745
176,5/28/2015,31.75866687,0.128,0.001164333,0.000593333,0.004742667
177,5/29/2015,31.8203335,0.128,0.000866333,0.000106667,0.004741333
178,6/1/2015,31.8710002,0.128,0.000719667,-0.000592333,0.004741
179,6/2/2015,31.9340002,0.128,0.001230667,-0.000373667,0.004738333
180,6/3/2015,31.9923336,0.128,0.001122667,-0.000565,0.004737
181,6/4/2015,32.05833357,0.128,0.001605667,-0.000218,0.004735333
182,6/5/2015,32.11533353,0.128,0.000916333,0.000205333,0.004735667
183,6/8/2015,32.17666687,0.128,0.001079333,-0.000163333,0.004736667
184,6/9/2015,32.23766693,0.128,0.000886,-0.000373333,0.004739333
185,6/10/2015,32.3123336,0.128,0.001066,-0.00051,0.004741333
186,6/11/2015,32.40033357,0.128,0.001099,-4.50E-05,0.004741667
187,6/12/2015,32.48300027,0.128,0.001098,0.000568333,0.004740667
188,6/15/2015,32.5486669,0.128,0.001214667,0.000835,0.004739333
189,6/16/2015,32.59700027,0.128,0.001097,-0.000565667,0.004740333
190,6/17/2015,32.62333363,0.128,0.000911333,-0.000661333,0.004741333
191,6/18/2015,32.6503336,0.128,0.000888,-0.000215333,0.00474
192,6/19/2015,32.67466693,0.128,0.001677,0.000286667,0.004736333
193,6/22/2015,32.6836668,0.128,0.001367,0.00053,0.004734667
194,6/23/2015,32.6740001,0.128,0.001115333,0.000112667,0.004734333
195,6/24/2015,32.67733353,0.128,0.001425333,8.97E-05,0.004733333
196,6/25/2015,32.6653335,0.128,0.001248667,0.000286333,0.004733
197,6/26/2015,32.66233347,0.128,0.000957333,-0.00034,0.004733333
198,6/29/2015,32.66000017,0.128,0.000851,-0.000641,0.004735
199,6/30/2015,32.6740002,0.128,0.000361,-0.001187667,0.004740333
200,7/1/2015,32.71033353,0.128,0.00033,-0.001187,0.004746
201,7/2/2015,32.7523335,0.128,0.000338333,-0.000902667,0.004750333
202,7/6/2015,32.76866673,0.128,0.000428333,-0.000802333,0.004754333
203,7/7/2015,32.7696667,0.128,0.000291667,-0.000819,0.004759667
204,7/8/2015,32.7696667,0.128,0.000185,-0.000625,0.004763333
205,7/9/2015,32.766,0.128,-0.000205,-0.001155,0.004768
206,7/10/2015,32.77066663,0.128,-0.0003,-0.001446667,0.004774
207,7/13/2015,32.78866667,0.128,-3.50E-05,-0.000886667,0.004777667
208,7/14/2015,32.8239999,0.128,0.000504,0.000168333,0.004778667
209,7/15/2015,32.86933323,0.128,0.000756,0.000322,0.004779333
210,7/16/2015,32.9189998,0.128,0.000981333,0.000299,0.00478
211,7/17/2015,32.9506665,0.128,0.000773333,0.000371,0.004779667
212,7/20/2015,33.02833323,0.128,0.00109,0.000627667,0.004778
213,7/21/2015,33.13466667,0.128,0.000874333,0.000834667,0.004775667
214,7/22/2015,33.2333333,0.128,0.001107667,0.001074667,0.004773
215,7/23/2015,33.32733327,0.128,0.001091,0.001102333,0.004770667
216,7/24/2015,33.405,0.128,0.000614667,-0.000782667,0.004771333
217,7/27/2015,33.45366663,0.128,0.000339,-0.001882667,0.004774333
218,7/28/2015,33.50366663,0.128,0.000329,-0.002296,0.004777
219,7/29/2015,33.5456666,0.128,0.000282333,-0.001746,0.004777
220,7/30/2015,33.6116666,0.128,0.000467333,-0.001480667,0.004776333
221,7/31/2015,33.6733332,0.128,0.000606667,-0.000997333,0.004776
222,8/3/2015,33.72466657,0.128,0.000137667,-0.001632667,0.004777667
223,8/4/2015,33.77266667,0.128,0.000537333,-0.002019333,0.004778667
224,8/5/2015,33.82266667,0.128,-1.83E-05,-0.002415,0.004780667
225,8/6/2015,33.87499997,0.128,-0.000105,-0.002853667,0.004782
226,8/7/2015,33.92066673,0.128,2.50E-05,-0.003293667,0.004783667
227,8/10/2015,33.9596667,0.128,0.000205,-0.002403,0.004785
228,8/11/2015,34.02366663,0.128,0.000320333,-0.001772333,0.004784667
229,8/12/2015,34.1049999,0.128,0.000700333,-0.000975667,0.004782
230,8/13/2015,34.17266653,0.128,0.000306667,-0.001157667,0.004779667
231,8/14/2015,34.23399987,0.128,9.67E-06,-0.001867,0.004778667
232,8/17/2015,34.30066653,0.128,0.000367333,-0.001351667,0.004777333
233,8/18/2015,34.39466653,0.128,0.000555667,-0.001385,0.004774333
234,8/19/2015,34.4826665,0.128,0.000779333,-0.001497667,0.004772667
235,8/20/2015,34.58099987,0.128,0.001096,-0.000342,0.004769667
236,8/21/2015,34.63966663,0.128,0.000395333,-0.000669667,0.004770333
237,8/24/2015,34.66133333,0.128,-0.001229667,-0.001789667,0.004778333
238,8/25/2015,34.6546668,0.128,-0.003302,-0.003571333,0.004795333
239,8/26/2015,34.62866687,0.128,-0.004401667,-0.004447,0.004815
240,8/27/2015,34.57966683,0.128,-0.003191,-0.003345667,0.004828
241,8/28/2015,34.51966687,0.128,-0.002313333,-0.002716,0.004838333
242,8/31/2015,34.43866687,0.128,-0.002483333,-0.002926,0.004848667
243,9/1/2015,34.3373335,0.128,-0.002676667,-0.00335,0.004860667
244,9/2/2015,34.20733343,0.128,-0.004083333,-0.004696667,0.004877
245,9/3/2015,34.0776668,0.128,-0.003757667,-0.004463333,0.00489
246,9/4/2015,33.96300007,0.128,-0.003299,-0.002919667,0.004901667
247,9/8/2015,33.8603334,0.128,-0.003775667,-0.002596333,0.004914333
248,9/9/2015,33.7823334,0.128,-0.002599667,-0.001322333,0.004921667
249,9/10/2015,33.71233343,0.128,-0.002956333,-0.001489,0.004933333
250,9/11/2015,33.63266677,0.128,-0.003045333,-0.001632667,0.004945667
251,9/14/2015,33.52366683,0.128,-0.003116667,-0.002092,0.004957
252,9/15/2015,33.41733347,0.128,-0.002861667,-0.001952,0.004968667
253,9/16/2015,33.30933347,0.128,-0.002442333,-0.001234333,0.004977667
254,9/17/2015,33.19166677,0.128,-0.002233,-0.000745667,0.004985
255,9/18/2015,33.0653334,0.128,-0.003073,-0.000639,0.004993333
256,9/21/2015,32.94633333,0.128,-0.003749667,-0.000682333,0.005004
257,9/22/2015,32.8426667,0.128,-0.003383333,-0.000989,0.005013333
258,9/23/2015,32.70800007,0.128,-0.004212667,-0.002281333,0.005027
259,9/24/2015,32.58766677,0.128,-0.003733333,-0.002138,0.005039667
260,9/25/2015,32.45000013,0.128,-0.003596667,-0.002374667,0.005052667
261,9/28/2015,32.3123335,0.128,-0.003083333,-0.001707,0.005065667
262,9/29/2015,32.17966687,0.128,-0.004061,-0.003199333,0.005083667
263,9/30/2015,32.03700023,0.128,-0.003728667,-0.002613333,0.005102667
264,10/1/2015,31.90900023,0.128,-0.003537667,-0.002080667,0.005118
265,10/2/2015,31.7896669,0.128,-0.003202667,-0.002389667,0.005131333
266,10/5/2015,31.7050002,0.128,-0.002769333,-0.001885667,0.005139
267,10/6/2015,31.69133353,0.128,-0.000745,0.000385,0.005138333
268,10/7/2015,31.67966677,0.128,0.000691667,0.001551,0.005131
269,10/8/2015,31.65100007,0.128,0.001594333,0.002666,0.00512
